"
Politics of large company can be a lot",5.0,"
Flexible work-life balance, good pay, smart employees",Current Employee Software Engineer II in Redmond WA,2019-07-25,microsoft
"
Pockets of the company still seem to not be reading the culture change memos.",4.0,"
You can work very different jobs and change career paths, or do the same type of job for multiple different teams, each with its own strengths.",Current Employee Senior Program Manager in Redmond WA,2019-08-08,microsoft
"
Compensation is not as competitive as Facebook or Google",5.0,"
Growth Opportunities for Engineers, autonomy, great benefits",Current Employee Principal Software Engineer Manager in Redmond WA,2019-07-21,microsoft
"
Retail environment could be better for employees",5.0,"
Culture, growth opportunities, great networking",Former Employee Assistant Store Manager,2019-07-24,microsoft
"
Very few... travel? When your working for a company that transform the world.. you really have to look for these...",5.0,"
People, Benefits, Causes and Direction",Former Employee Manager in Scottsdale AZ,2019-07-24,microsoft
"
Let go while still providing huge business value so that they could get ""new blood"". Untrained, inexperienced newcomers are tantly hired to replace at a lower cost more senior (read OLDER) employees. It should be illegal they way Microsoft treats older, experienced, valuable employees. Aside from that its always been a highly political, bloated mess of an organization based on old boys network connections and run...
Show More",2.0,"
Lot's of smart people. Good opportunity for a diverse and growing career.",Former Employee Senior Director in Redmond WA,2019-08-07,microsoft
"
Commute time if applicable.",5.0,"
Great culture and work life balance!",Former Employee Engineer,2019-07-22,microsoft
"
Have to work holidays, and sometimes the days are long.",5.0,"
Work life balance. Ability to move upward laterally. Can start in retail and work your way up.",Former Employee Product Advisor in Milwaukee WI,2019-07-23,microsoft
"
gender disparity , stop learning, too little diversity",5.0,"
Accessibility focus, pay, benefits and perks",Former Employee Product Manager in Redmond WA,2019-07-22,microsoft
"
I have not worked here long enough to have .",5.0,"
The benefits are amazing compared to places I've worked previously",Current Employee Senior Applications Development Manager in Tallahassee FL,2019-07-20,microsoft
"
The smile can be hard to maintain sometimes but assume positive intent.",4.0,"
Fast-paced, up-to-date, and friendly environment on a daily basis.",Former Employee Product Specialist in Indianapolis IN,2019-08-02,microsoft
"
Easy to get lost because some times you feel whether you really fit in here.",4.0,"
Working with smart and focused people. Very friendly environment.",Current Employee Software Development Engineer in Redmond WA,2019-08-02,microsoft
"
salary is not top level",5.0,"
Company culture is very good",Former Employee Data Scientist,2019-07-18,microsoft
"
Breadth is not well covered.",4.0,"
A lot of learning opportunity opportunity to go really deep",Former Employee Senior Software Engineer,2019-08-01,microsoft
"
Can be top heavy therefore hard to get promotions.",5.0,"
Exciting business, good culture, good work life balance.",Current Employee Mechanical Engineer in Redmond WA,2019-07-16,microsoft
"
Need to move faster to address competitive threats",5.0,"
Love it. Amazing transformation under Satya",Current Employee Sales in Seattle WA,2019-07-16,microsoft
"
Middle management still stuck in Microsoft past. Slow to change, still a closed club to move up.",4.0,"
Great technology and products to work on. Once inside the company, can go many different paths.",Current Employee Anonymous Employee,2019-07-29,microsoft
"
Salary and stock is below industry average.",5.0,"
Quite good experience so far.",Current Employee Software Engineer in Redmond WA,2019-07-11,microsoft
"
The products of today are solid revenue stream and there are futuristic products such as HoloLens but there are less in between innovations that could bridge the two categories of products at this point. Some organizations suffer from politics in the leadership team. Good news is that they get removed if they really mess up.",5.0,"
The company won design award from AIGA. It has become very design driven in certain organizations. The company has shipped innovative products and kept on improving them, which is hard to see in tech industry nowadays. The company has solid business model that makes it a cash cow not relying on selling user data. In general the company image is ethical and Bill Gates and Satya are cool idered to be cool public figures...
Show More",Current Employee Senior Designer in Redmond WA,2019-07-14,microsoft
"
Often slow. Marketing org is fairly political, which can be a good place to learn the game but equally demotivating at times.",5.0,"
Smart people with great career mobility, upwards and laterally",Current Employee Data Applied Scientist in Redmond WA,2019-07-14,microsoft
"
Company culture is a challenge",4.0,"
Impactful work, great benefits, competitive salaries, work-life balance",Current Employee Principal Design Manager in Redmond WA,2019-07-28,microsoft
"
None that comes to mind at the moment",5.0,"
Awesome work environment. Love the people I work with",Current Employee Good,2019-07-12,microsoft
"
Some groups are very poorly managed",5.0,"
Microsoft has great work-life balance",Current Employee Data Scientist in Redmond WA,2019-07-12,microsoft
"
Work life balance is a challenge since there is always more to be done. Employees need to learn to manage it effectively. Organizational politics and quality middle management can be an issue in some organizations, but likely no more so than at other companies in the industry.",4.0,"
I have worked at Microsoft for most of my career and have worked in a number of organizations across the company. Microsoft has given me the opportunity to “reinvent” myself multiple times as I have progressed in my career. The work is fast paced and there is often more to be done then you have time to accomplish is a normal work week, but the effort is rewarding. Microsoft has had it’s ups and downs over the years,...
Show More",Current Employee Principal Program Manager in Redmond WA,2019-07-26,microsoft
"
-not a lot of young people -don't get treated like an intern",4.0,"
-learn a lot -surrounded by many wise people -$7000 after tax relocation -great pay",Current Employee Software Engineer Internship in Redmond WA,2019-07-25,microsoft
"
Commutes are ridiculously long in Redmond, even with transportation options provided by the company. Most senior managers live close so maybe they don't feel the pain. I spend 2-3 hours per day on the company bus (but at least there is WIFI, so it isn't a complete loss). Some groups are ok with regular remote work, while others insist physical presence everyday. It would be nice to see more allowance for working remote...
Show More",5.0,"
Lots of ability to move around within the company, easy to find groups doing something of interest. Good work-life balance and flexible schedules. Awesome transportation options including: company buses, van pool support, public bus passes. Great emphasis on diversity and inclusion and equality. Building a culture where people are truly valued and not just a replaceable cog in the machine. Lots of opportunity and great...
Show More",Current Employee Senior Security Program Manager in Redmond WA,2019-07-10,microsoft
"
no real  to think off.",5.0,"
Lots of interesting work to get stuck into.",Former Employee Manager in Los Angeles CA,2019-07-10,microsoft
"
Politics permeate all decision making Pervasive water cooler (gossip, Blind) atmosphere Competitive, sometimes subtly cutthroat More talk than walk about transparency and diversity",4.0,"
People are always very smart or super friendly Upward mobility within company (up to a point of course) Great environment for undergrads and early-in-career Bleeding edge tech in Azure",Former Employee Principal Program Manager in Redmond WA,2019-07-24,microsoft
"
Large matrix organization, network needed to operate",5.0,"
Global impact and leading company driving digital transformation",Current Employee Director WW Global Role Lead for Channel Manager in Redmond WA,2019-07-09,microsoft
"
No downsides of working at Microsoft",5.0,"
work life balance, benefits, career growth",Current Employee Senior Software Engineer in Bellevue WA,2019-07-09,microsoft
"
Campus truction has made a mess of everything. Program managers want data for everything. Ordinarily that would be good. Sometimes they should embrace their roles as thought and design leaders rather than blindly following where the data takes them.",5.0,"
I have found Microsoft to be a company with an ambitious, competitive, and diverse workforce. Blind spots exist and are like that of other industry leaders. The effort to eliminate them seems sincere if sometimes a little misguided, but its forgivable since management from the top down appears to buy in.",Current Employee Software Development Engineer in Seattle WA,2019-07-09,microsoft
"
Horrible mid and director level management. Too many responsibilities, little direction on individual level. Systems are a work in progress. Benefits are based on hourly rate and encourage people who are ill to be in the office. Too many managers with authority over any one individual. This is a company that although successful is completely in transition. I would give them a couple more years with this transition before...
Show More",2.0,"
Fair salary and benefits. Free drinks, ping pong, foosball shuffleboard. They closed the company store",Former Employee WWIS Account Executive Inside Sales in Las Colonias TX,2019-07-24,microsoft
"
no micro management so if you someone that needs a lot of direction to do your job it will be somewhat challenging",5.0,"
Microsoft has a good balance between work and personal life",Current Employee Software Engineer in Boston MA,2019-07-08,microsoft
"
No free food for employees unfortunately",5.0,"
Lots of very smart people and the benefits are amazing.",Former Employee Senior Software Engineer,2019-07-08,microsoft
"
No sure whether busy is good or not",4.0,"
It depends on teams. At least the azure team is super busy.",Current Employee Software Engineer,2019-07-22,microsoft
"
A big company with bureaucracy and lots of bad managers. Your experience in the company will heavy impacted by your manager.",4.0,"
There are a lot of teams in Microsoft so if you have opportunities to transfer internally and learn new skills",Current Employee Program Manager in Redmond WA,2019-07-19,microsoft
"
There are Bureaucratic processes at times",5.0,"
Work Life Balance is great",Current Employee Product Marketing Manager,2019-07-07,microsoft
"
Not all teams are alike, so pick your team carefully. Growth is slow after first few years.",4.0,"
Great learning experience to begin your career. Great pay/benefits. Lots of options for internal move to get varied experiences. The Seattle area is awesome.",Current Employee Senior Software Engineer in Redmond WA,2019-07-21,microsoft
"
Pay could be better. Retail is not for everyone",4.0,"
Decent pay, good benefits. Fun environment to work in.",Current Employee SERVICE ADVISOR in Paramus NJ,2019-07-21,microsoft
"
None that are worth mentioning.",5.0,"
Very dynamic and interesting environment. Opportunity to learn and work on ""stretch"" projects encouraged. The opportunity to work with great people and technology and deliver value to customers. Work life balance and benefits were good.",Former Employee Technical Solution Professional in New York NY,2019-07-05,microsoft
"
There are no  at this place.",5.0,"
Friendly environment to work with a wide variety of people from all background. There is always a tant learning curve and the company supports a learning environment where everybody can grow. Snack room area, an hour break, paid commute services, free food every so often.",Current Employee umer Product Advisor,2019-07-05,microsoft
"
No free food available to employees, only drinks/snacks",5.0,"
Great projects Great work/life balance Smart co-workers",Current Employee Frp Analyst in Redmond WA,2019-07-04,microsoft
"
Long hours. Some micro-managing occurs",4.0,"
Smart people. Challenging work. Great environment.",Former Employee Finance Manager,2019-07-18,microsoft
"
Too much volatility and re-organization. There seems to be a re-org every 6 months to a year.",4.0,"
Smart people -- engineers as well as PMs. Even though most engineers gripe about having too many program managers, the PMs play an important role in taking a product to market.",Current Employee Senior Software Engineer in Mountain View CA,2019-07-18,microsoft
"
Too much volatility and re-organization. There seems to be a re-org every 6 months to a year.",4.0,"
Smart people -- engineers as well as PMs. Even though most engineers gripe about having too many program managers, the PMs play an important role in taking a product to market.",Current Employee Senior Software Engineer in Mountain View CA,2019-07-18,microsoft
"
Work life balance Some Perks",5.0,"
good salary and good benefits",Current Employee Senior Software Engineer,2019-07-03,microsoft
"
had to learn many stuff that's Microsoft specific, e.g. power shell, the pay is not as competitive as some other top companies as a software engineer with 2 year work experience",4.0,"
great work life balance, nice people to work with, team lead is technically strong an d willing to help me grow, the environment is good, many cafe to try food, many teams to learn things from, great benefits, 401K match, fancy Gym,",Former Employee Software Engineer in Redmond WA,2019-07-15,microsoft
"
Extremely frequent re-orgs. Each team I have been on has been disbanded and scattered to the winds every 5 since I started 2 years ago. It's impossible to make progress in one's career when management is randomizing the leaf nodes of the org chart tantly. Difficult internal mobility. Internal transfers are treated like external applicants. I applied for both internal and external jobs and got a senior software...
Show More",1.0,"
401k match Gym membership ESPP stock purchase program Eastside location in Puget Sound",Current Employee Applied Scientist in Redmond WA,2019-08-05,microsoft
"
Although progress has been made, much more needs to be done to break silos and inistencies across the company.",5.0,"
Microsoft supports my ideas. I can start complex projects and find resources and support to it. It is fun to be in the leading edge of technology.",Current Employee Business Program Manager in Redmond WA,2019-07-01,microsoft
"
none good company",4.0,"
flexible and great benefits",Current Employee Sales Associate in Miami FL,2019-07-15,microsoft
"
Depending on the organization, management can be hit or miss.",4.0,"
Great salary and work-life balance.",Former Employee Software Engineer in Redmond WA,2019-07-15,microsoft
"
Engineers are gods, if you are not one your salary is low",5.0,"
Takes care of their people",Current Employee Sales Operations Manager in Bellevue WA,2019-06-30,microsoft
"
None specific, typical challenges with fast pace growth",5.0,"
Great firm, rapidly growing, fast pace, strong brand, smart people",Current Employee Anonymous Employee,2019-06-30,microsoft
"
Admins quickly hit the glass ceiling and cannot move up anymore. Pay is not commiserate with work",3.0,"
Great Benefits and Work/Life Balance",Current Employee Executive Assistant in Redmond WA,2019-07-13,microsoft
"
microdoft is the best software ingineering company",5.0,"
want to became like bill gates",Current Employee Senior Software Development Engineer At Microsoft in Los Angeles CA,2019-06-28,microsoft
"
There is a lot of networking involved.",5.0,"
Invested in you as a person, they paid for different education schemes for me. The flexibility of work is a huge bonus.",Former Employee Program Manager,2019-06-28,microsoft
"
Low pay in relation to FAANG companies, messy internal transfer/interview system",5.0,"
Good pay, strong benefits and reasonable work life balance",Current Employee Customer Success Manager in Washington DC,2019-06-27,microsoft
"
Drink the kool aid mentality Big brother oversight, lack of freedom",4.0,"
Company revenue in services is through the roof Lots of growth opportunity Free training",Current Employee Technical Account Manager in Dallas TX,2019-07-10,microsoft
"
The hierarchical structure is hard to work with",4.0,"
Great culture is a core key of this company",Current Employee Product Marketing Manager,2019-07-10,microsoft
"
I've heard horror stories from ex-employees and one does not need to go far to find them on the internet. None of that has been my experience so far. There are over a hundred thousand people working here so I don't doubt some teams / organizations could be more miserable. I also work at a satellite office where it is more laid back than on the main campuses. The downsides I have experienced is it's easy to get out...
Show More",4.0,"
Industry leading compensation and benefits, good culture, very comfortable workplace environment. They will do whatever it takes to enable you what you need to do your job. Other tech companies it can be a nightmare to just get the basic things you need to do your job but here they go out of their way to make sure you have what you need and are comfortable. Honestly the office is so high end and all my stuff is so nice,...
Show More",Current Employee Verification Engineer,2019-07-10,microsoft
"
Annual compensation is lesser than most of the competitors.",5.0,"
Lots of smart people, awesome benefits, good work life balance.",Current Employee Software Engineer in Bellevue WA,2019-06-19,microsoft
"
Managers can be hit or miss. Luckily you can often transfer to a different team. Takes time to earn four or five weeks vacation.",5.0,"
Lots of areas to move to when you're ready for a change. Great benefits, work areas and location. Two weeks sick time in addition to three weeks vacation.",Former Employee Program Manager in Redmond WA,2019-06-24,microsoft
"
Career progression is a bit slow.",5.0,"
Very empowering environment. Love the freedom to make an impact not only within the team but across the company.",Current Employee Finance Director in Redmond WA,2019-06-23,microsoft
"
Depending on your team, work-life balance might be impossible to achieve",4.0,"
Great benefits, salary, and additional perks.",Current Employee Business Program Manager in Redmond WA,2019-07-07,microsoft
"
Top heavy. Overindexing on inclusion/diversity that is taking a toll on productivity. Highly political.",3.0,"
Employee friendly. Work life balance. Open culture in some functions",Current Employee Microsoft Engineer in Seattle WA,2019-07-05,microsoft
"
slow growth, too many processes",4.0,"
good benefits, good wlb",Current Employee Software Engineer in Seattle WA,2019-07-03,microsoft
"
None that I can think of",5.0,"
Benefits benefits and benefits... You won't be even able to count them",Current Employee PARTNER TECHNICAL ADVISOR in India MS,2019-06-18,microsoft
"
Work life balance is extremely challenging. There is always more work to do, always fire drills. The only time I can get my work done is outside of working hours (before 9 am, after 5 pm, weekends).",3.0,"
Good pay vs other companies, respect for diversity on my team and area, nice colleagues, not a hard-charging atmosphere. Seem to promote the right people. Flexible approach to work schedules",Current Employee Senior Finance Manager in Redmond WA,2019-07-02,microsoft
"
As can happen at a big tech company, things move slow sometimes.",5.0,"
Support for employees in all ways is istently emphasized at all levels of the company. Benefits are incredible. Pay isn't the highest, but I feel taken care of.",Current Employee User Experience Designer,2019-06-17,microsoft
"
* Annoying commute from Seattle * Experience can be very dependent on your org/ team. I feel very lucky to have found the team I was on. * Hard to work with some teams that seemed more obsessed with process vs the common goal of delivering good product. E.g., I know security is important and security reviews are important, but if you only offer office hours a few hours each week, refuse to meet any other time,...
Show More",5.0,"
* Interesting design challenges working on Sway team * Great company culture * Work/life balance * Smart, talented people * Benefits * Mentoring, career growth * Travel opportunities * Interaction with customers I could go on and on. :)",Former Employee Program Manager II in Redmond WA,2019-06-13,microsoft
"
Very poor management within the Azure AI 360 team that I was working under. They lacked vision and were interested in their own careers instead of meeting our customers needs. This is reflected in the fact that we were re-orged 4 time within a 18 month period.",4.0,"
good benefits, stable company, good vision for products",Former Employee Information Security Analyst in Redmond WA,2019-06-30,microsoft
"
Management higher up tends to chase their written commitments too much, beyond common sense. Career advancement is generally slower than in other similar companies. Less of an ecosystem bubble than it used to be, but still a bit of a bubble, especially in Windows. If you are in the wrong spot for too long, it's easy to end up being an expert with a skillset nobody really needs outside the company.",5.0,"
Good work/life balance. Relaxed atmosphere in the office. Pretty good campus. Convenient location and commute options. Easy to switch teams, and lots of different projects to choose from. Very open source friendly internally these days. Can be very flexible on schedule and even remote work, depending on the subdivision. There's no corporate-wide anti-remote policy, like in some places, and no informal bias...
Show More",Current Employee Senior Software Engineer in Redmond WA,2019-06-15,microsoft
"
Large and bureaucratic, changes direction slowly",5.0,"
Phenomenal resources and great people",Current Employee Principal Program Manager Lead in Redmond WA,2019-06-15,microsoft
"
... ability to move teams within the Redmond area mostly. Big gap in culture between people in the Redmond area vs people in Cambridge.",4.0,"
Extremely interesting project a very large scale. Benefits. Ability to move teams but ... Great work life balance.",Former Employee Software Engineer II in Cambridge MA,2019-06-29,microsoft
"
High cost of living Many people don't care about their job",5.0,"
Good work life balance Good benefits",Current Employee Software Engineer,2019-06-14,microsoft
"
below average pay out of all big companies.",3.0,"
stocks going up, lots of different areas to work on",Current Employee Software Development Engineer II,2019-06-28,microsoft
"
Rude customers and can be dead sometime",5.0,"
Benefits easy nice coworkers",Current Employee Product Advisor,2019-06-13,microsoft
"
hierarchy - not a flat structure at all, everyone works in silos",4.0,"
cool products, lots of work to be done, lots of budget",Former Employee Marketing Manager,2019-06-27,microsoft
"
No . All good. None.",5.0,"
Great work culture and benefits",Current Employee Senior Software Developer,2019-06-09,microsoft
"
Nothing Microsoft is amazing t work for",5.0,"
Good Pay Good Work Conditions",Former Employee Software Engineer in Haxtun CO,2019-06-12,microsoft
"
Frequent re-orgs can be draining.",5.0,"
Tremendous benefits and opportunities. Excellent mentoring and management.",Current Employee Senior Software Engineer,2019-06-12,microsoft
"
Not many negative has MSFT",4.0,"
Great company with good benefits",Former Employee Finance Director in Redmond WA,2019-06-26,microsoft
"
-Base salaries can be on the lower side.",5.0,"
-Lots of smart, humble people who are ready to learn -Great benefits -Stronger culture since Satya Nadella became CEO",Current Employee Senior Project Program Manager in Irvine CA,2019-06-11,microsoft
"
Very team dependent but work-life varied greatly",5.0,"
Smart people at all levels of the organization, Strong leadership and vision, Many opportunities for growth",Former Employee Anonymous Employee,2019-06-10,microsoft
"
Average pay, upper management politics",4.0,"
Dynamic roles and responsibilities, collaborative ecosystems, exceptional healthcare benefits, flexibility in work schedules",Current Employee Communications Manager in Seattle WA,2019-06-24,microsoft
"
Continuous push for growth. Once you falter, you can never recover and might linger around for years before they fire you.",4.0,"
Great Opportunity to grow and learn. Very smart people to work with, in general. All the latest and greatest toys.",Current Employee Senior Support Escalation Engineer in Charlotte NC,2019-06-21,microsoft
"
None that I can think of",5.0,"
Great people, work life balance",Current Employee Senior PM in Redmond WA,2019-06-04,microsoft
"
Busy life so need to keep up",5.0,"
Great place to work for",Current Employee Anonymous Employee,2019-06-07,microsoft
"
Can be overly bureaucratic and slow to respond to challenges",4.0,"
Huge company with many products and services to work on",Former Employee Senior Technical Writer in Redmond WA,2019-06-21,microsoft
"
Success at IC level 90% dependent on your ability to manage your manager and your ability to continually impress new leaders due to continual reorgs. Not unlike many big tech companies. Microsoft loves to bring in new hires without local ties or committments. Once you get a life :), work-life balance depends on your ability to impress your manager (perceived value not actual value). Massive emphasis on political correctness,...
Show More",4.0,"
Great exec leadership culture, brand, products. Excellent benefits and comp. Good organizational transparency and high emphasis on employee experience, great technology, tools, work environment, processes to self serve. Good self-critical culture, if something doesnt make sense, change it. Good employee experience overall for 13+ yrs.",Former Employee Senior PM in Redmond WA,2019-06-19,microsoft
"
- care about money above all else - work/life balance is a lie told by management but not reinforced by other coworkers - company culture entirely depends on your department",3.0,"
- Microsoft library - nonprofit donation and hour matching - discount on software products - executive leadership says nice things",Current Employee Associate ultant in Dallas TX,2019-06-19,microsoft
"
I can think of None till date",5.0,"
Everything has been great till date",Current Employee Anonymous Employee,2019-06-04,microsoft
"
Challenging for those who have a hard time self-promoting (have to balance between highlighting good/great performance while remaining humble. This is not a company for insanely bright solo performers who have no ability to share their knowledge - a high premium is placed on building upon the success of others (generally not starting from scratch) and promoting the success of others (e.g. build things in such a way that...
Show More",4.0,"
Services side of the house is pretty good if you carve out a niche for yourself at some good customers. Work-life balance is possible but can be tricky depending on customer location and whether the customer requires 100% onsite (e.g. many Federal customers). Benefits package is actually worthy of comparison when adding to total compensation. Rewards often match output, especially if you learn what your management/senior...
Show More",Current Employee Premier Field Engineer,2019-06-17,microsoft
"
My analogy for Microsoft is that it's like a carnivorous tropical pitcher plant. You come in and the pay is great, work life balance etc. But, over time you start to stagnate and work becomes this 9-5 thing you're comfortable doing but not really excited about. I think that about sums up 90% of the people here. Also, depends on your team but they really just stick you somewhere out of college. No matching based on...
Show More",1.0,"
- Great work life balance - Great Pay/benefits - Overall, pretty easy",Current Employee Program Manager,2019-07-09,microsoft
"
sometimes too easy going. bureaucratic",5.0,"
Money, work life balance, good leadership",Current Employee Software Engineer in Redmond WA,2019-06-02,microsoft
"
Big, need to find ways to align your ideas to broader strategy",4.0,"
Scale, customer focused, opportunity to learn",Former Employee Principal Program Manager in Redmond WA,2019-06-16,microsoft
"
Management doesn't usually have the answers.",5.0,"
If you're self driven with good networking skills you'll do great here.",Current Employee Premier Field Engineer,2019-05-29,microsoft
"
It's hard work for the next guy",5.0,"
I like the auto fill",Current Employee Anonymous Employee,2019-05-31,microsoft
